year,month,payload_mass,core_reused,latitude,longitude,stages,cost_per_launch,has_capsule,has_crew,success_rate,locality_Omelek Island,locality_Vandenberg Space Force Base,region_Florida,region_Marshall Islands,country_United States,success
2006,3,20.0,0,9.0477206,167.7431292,2,6700000,0,0,0.4,True,False,False,True,False,False
2007,3,0.0,0,9.0477206,167.7431292,2,6700000,0,0,0.4,True,False,False,True,False,False
2008,8,0.0,0,9.0477206,167.7431292,2,6700000,0,0,0.4,True,False,False,True,False,False
2008,9,165.0,0,9.0477206,167.7431292,2,6700000,0,0,0.4,True,False,False,True,False,True
2009,7,200.0,0,9.0477206,167.7431292,2,6700000,0,0,0.4,True,False,False,True,False,True
2010,6,0.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2010,12,0.0,0,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2012,5,525.0,0,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2012,10,800.0,0,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2013,3,677.0,0,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2013,9,500.0,0,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2013,12,3170.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2014,1,3325.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2014,4,2296.0,0,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2014,7,1316.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2014,8,4535.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2014,9,4428.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2014,9,2216.0,0,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2015,1,2395.0,0,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2015,2,570.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2015,3,4159.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2015,4,1898.0,0,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2015,4,4707.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2015,6,2477.0,0,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,False
2015,12,2034.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2016,1,553.0,0,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2016,3,5271.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2016,4,3136.0,0,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2016,5,4696.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2016,5,3100.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2016,6,3600.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2016,7,2257.0,0,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2016,8,4600.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2016,9,5500.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,False
2017,1,9600.0,0,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2017,2,2490.0,0,28.6080585,-80.6039558,2,50000000,1,0,1.0,False,False,True,False,True,True
2017,3,5600.0,0,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2017,3,5300.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2017,5,0.0,0,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2017,5,6070.0,0,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2017,6,2708.0,0,28.6080585,-80.6039558,2,50000000,1,0,1.0,False,False,True,False,True,True
2017,6,3669.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2017,6,9600.0,0,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2017,7,6761.0,0,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2017,8,2910.0,0,28.6080585,-80.6039558,2,50000000,1,0,1.0,False,False,True,False,True,True
2017,8,475.0,0,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2017,9,4990.0,0,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2017,10,9600.0,0,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2017,10,5200.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2017,10,3700.0,0,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2017,12,2205.0,1,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
